,subject,grade,season,number,teacher
85,知能情報処理,３年次,後期,1ACM09A0,オザキアツオ
86,知能制御工学,３年次,後期,1ACM10A0,コマツノブオ
87,知能制御工学演習,３年次,後期,1ACN10A0,コマツノブオ
88,コンピュータ入門,１年次,前期,1BAB01A0,イガキヒロシ
89,テクニカルライティング,１年次,後期,1BAB05B0,スナガヒロシ
90,計算機アーキテクチャ,２年次,前期,1BAB11A0,スナガヒロシ
91,オペレーティングシステム,２年次,後期,1BAB16A0,サノムツオ
92,計算機アーキテクチャ,２年次,前期,1BAC03A0,スナガヒロシ
93,オペレーティングシステム,２年次,後期,1BAD06A0,サノムツオ
94,データベースシステム,２年次,後期,1BAD11A0,フカミサトル
95,ソフトウェア工学Ⅰ,２年次,後期,1BAD13A0,スナガヒロシ
96,情報技術者論,３年次,後期,1BAG14A0,オザキアツオ
97,Ｃ演習Ⅰ,１年次,後期,1BAH03A0,ミズタニヤスハル
98,情報システム基礎演習,３年次,後期,1BAH07A0,オバナマサキ
99,情報システム専門演習,３年次,前期,1BAH08A0,ミズタニヤスハル
100,情報ゼミナール,３年次,後期,1BAK01A0,カマクラヨシナリ
101,データベースシステム,２年次,後期,1BAL09A0,フカミサトル
102,ソフトウェア工学Ⅰ,２年次,後期,1BAL10A0,スナガヒロシ
103,情報技術者論,２年次,後期,1BAL27A0,オザキアツオ
104,Ｃ演習Ⅰ,１年次,後期,1BAN03A0,ミズタニヤスハル
105,情報システム基礎演習,２年次,後期,1BAN07A0,オバナマサキ
106,情報システム専門演習,３年次,前期,1BAN08A0,ミズタニヤスハル
107,線形数学Ⅰ,１年次,前期,1BBA01A0,カマクラヨシナリ
108,線形数学Ⅰ,１年次,前期,1BBA01B0,オガタナオコ
109,線形数学Ⅰ,１年次,後期,1BBA01C0,サイトウヨウスケ
110,微積分学Ⅰ,１年次,前期,1BBA03A0,シンカイヒサアキ
111,微積分学Ⅰ,１年次,前期,1BBA03B0,サイトウヨウスケ
112,微積分学Ⅰ,１年次,後期,1BBA03C0,サイトウヨウスケ
113,確率・統計,３年次,前期,1BBA11A0,シンカイヒサアキ
114,情報通信ネットワーク,２年次,前期,1BBB02A0,シマノアキツグ
115,オートマトンと形式言語,３年次,前期,1BBB04A0,ヌノムラヤスヒロ
116,データ構造とアルゴリズムⅠ,２年次,前期,1BBB13A0,ニシグチサトシ
117,情報セキュリティ,３年次,前期,1BBC06A0,ヤマモトユウヘイ
118,データ構造とアルゴリズムⅠ,２年次,前期,1BBD02A0,ニシグチサトシ
