,subject,grade,season,number,teacher
371,モデリングとシミュレーション,３年次,後期,1DCM21A0,ヒラシマヨウイチ
372,ネットワーク・セキュリティ演習,３年次,後期,1DCN09A0,シマノアキツグ
373,コンピュータ入門,１年次,前期,1EAB01A0,マキノヒロシ
374,テクニカルライティング,１年次,後期,1EAB05B0,アラキヒデオ
375,ディジタル回路,１年次,後期,1EAB07A0,マキノヒロシ
376,組み込みシステム基礎,２年次,前期,1EAB23A0,コマツノブオ
377,計算機アーキテクチャ,２年次,前期,1EAL02A0,ナカニシチカコ
378,オペレーティングシステム,２年次,後期,1EAL07A0,ニシグチサトシ
379,Ｃ演習Ⅰ,１年次,後期,1EAN03A0,ミズタニヤスハル
380,情報科学演習Ⅰ,２年次,後期,1EAN07A0,マキノヒロシ
381,線形数学Ⅰ,１年次,前期,1EBA01A0,ヒラシマヨウイチ
382,線形数学Ⅰ,１年次,前期,1EBA01B0,オガタナオコ
383,線形数学Ⅰ,１年次,後期,1EBA01C0,オガタナオコ
384,微積分学Ⅰ,１年次,前期,1EBA03A0,シンカイヒサアキ
385,微積分学Ⅰ,１年次,後期,1EBA03C0,オガタナオコ
386,情報数学,２年次,後期,1EBA05A0,チサキショウコ
387,グラフ理論,２年次,前期,1EBA08A0,チサキショウコ
388,情報通信ネットワーク,２年次,前期,1EBB02A0,カシハラシゲル
389,データ構造とアルゴリズムⅠ,２年次,前期,1EBB13A0,コニシマサヒト
390,ソフトウェア工学Ⅰ,２年次,後期,1EBB21A0,オバナマサキ
391,データベースシステム,２年次,後期,1EBL09A0,フカミサトル
392,Ｃ演習Ⅱ,２年次,前期,1EBN04A0,ミズタニヤスハル
393,Java演習,２年次,後期,1EBN05A0,ヤストメセイゴ
394,周波数解析,２年次,前期,1ECA06A0,カマクラヨシナリ
395,微分方程式,１年次,後期,1ECA07A0,タイラヒロトシ
396,微分方程式,１年次,後期,1ECA07B0,オクノヒロツグ
397,プログラミング基礎,１年次,後期,1ECB03A0,ヌノムラヤスヒロ
398,情報処理基礎,１年次,後期集中,1ECB08A0,ヤストメセイゴ
399,プログラミング入門,１年次,前期,1ECB10A0,ナカニシチカコ
400,プログラミング入門,１年次,前期,1ECB10B0,ヌノムラヤスヒロ
401,コンピュータリテラシー,１年次,前期,1ECB26B0,ヒラオカカズタケ
402,インターフェース・センサ回路,２年次,前期,1ECL30A0,アラキヒデオ
403,コンピュータ入門,１年次,前期,1FAB01A0,カシハラシゲル
404,情報通信ネットワーク,２年次,前期,1FAB02A0,シマノアキツグ
405,テクニカルライティング,１年次,後期,1FAB05A0,タナベシンジ
406,テクニカルライティング,１年次,後期,1FAB05B0,タナベシンジ
407,計算機アーキテクチャ,２年次,前期,1FAB11A0,オオシマカズヨシ
408,ネットワークデザイン入門,１年次,前期（前半）,1FAB24A0,ツカモト　カツトシ
409,Ｃ演習Ⅰ,１年次,後期,1FAN03A0,ミズタニヤスハル
410,ネットワークデザイン基礎演習,２年次,後期,1FAN07A0,サカザワ　シゲユキ
411,線形数学Ⅰ,１年次,前期,1FBA01A0,ヒラシマヨウイチ
412,線形数学Ⅰ,１年次,前期,1FBA01B0,オガタナオコ
413,線形数学Ⅰ,１年次,後期,1FBA01C0,オガタナオコ
414,微積分学Ⅰ,１年次,前期,1FBA03A0,ヒラシマヨウイチ
415,微積分学Ⅰ,１年次,前期,1FBA03B0,サイトウヨウスケ
416,微積分学Ⅰ,１年次,後期,1FBA03C0,サイトウヨウスケ
417,情報数学,２年次,後期,1FBA05A0,チサキショウコ
418,グラフ理論,２年次,前期,1FBA08A0,チサキショウコ
419,データベースシステム,２年次,後期,1FBB20A0,ミズタニヤスハル
420,ソフトウェア工学Ⅰ,２年次,後期,1FBB21A0,ヤストメセイゴ
421,通信理論,２年次,前期,1FBB25A0,ツカモトカツトシ
422,情報セキュリティの基礎,２年次,後期,1FBB31A0,フクザワヤスコ
423,Ｃ演習Ⅱ,２年次,前期,1FBN04A0,ミズタニヤスハル
424,Java演習,２年次,後期,1FBN05A0,カシハラシゲル
425,微分方程式,１年次,後期,1FCA07A0,シンカイヒサアキ
426,微分方程式,１年次,後期,1FCA07B0,オオシマカズヨシ
427,ディジタル回路,１年次,後期,1FCB07A0,ツカモトカツトシ
428,情報処理基礎,１年次,後期集中,1FCB08A0,ヤストメセイゴ
429,Ｕｎｉｘ入門【前期前半】,１年次,前期（前半）,1FCB19A0,シマノアキツグ
430,コンピュータリテラシー,１年次,前期,1FCB26A0,トヨウラヨシヒロ
431,コンピュータリテラシー,１年次,前期,1FCB26B0,トヨウラヨシヒロ
432,ディジタル信号処理,２年次,前期,1FCB28A0,オオシマカズヨシ
433,プログラミングリテラシー（入門）【前期後半】,１年次,前期（後半）,1FCB29A0,スギカワサトシ
434,プログラミングリテラシー（読解）【後期後半】,１年次,後期（後半）,1FCB30A0,スギカワサトシ
435,哲学基礎,２年次,前期,B0B002A0,アメミヤトオル
436,哲学基礎,２年次,前期,B0B002B0,アメミヤトオル
437,情報社会論,２年次,後期,B0B005A0,イケダトモカ
438,情報社会論,２年次,後期,B0B005B0,イケダトモカ
439,応用倫理学,２年次,後期,B0B010A0,アメミヤトオル
440,応用倫理学,２年次,後期,B0B010B0,アメミヤトオル
441,人類の歴史,１年次,後期,B0B012A0,オオムラタクオ
442,人類の歴史,１年次,後期,B0B012B0,オオムラタクオ
443,人類の歴史,１年次,後期,B0B012C0,オオムラタクオ
444,文学基礎,２年次,前期,B0B014A0,ヨコヤマエリ
445,文学基礎,２年次,前期,B0B014B0,ヨコヤマエリ
446,文学基礎,２年次,後期,B0B014C0,ヨコヤマエリ
447,文学基礎,２年次,後期,B0B014D0,ヨコヤマエリ
448,情報法学,３年次,前期,B0B019A0,イエモトマミ
449,情報法学,３年次,前期,B0B019B0,イエモトマミ
450,経済学基礎,２年次,前期,B0B020A0,セノムツミ
451,経済学基礎,２年次,前期,B0B020B0,セノムツミ
452,経済学基礎,２年次,後期,B0B020C0,セノムツミ
453,社会学基礎,２年次,前期,B0C004A0,イケダトモカ
454,社会学基礎,２年次,前期,B0C004B0,イケダトモカ
455,倫理学基礎,１年次,前期,B0C007A0,アメミヤトオル
456,倫理学基礎,１年次,前期,B0C007B0,アメミヤトオル
457,倫理学基礎,１年次,後期,B0C007C0,アメミヤトオル
458,倫理学基礎,１年次,後期,B0C007D0,アメミヤトオル
459,日本の歴史,２年次,前期,B0C011A0,オオムラタクオ
460,日本の歴史,２年次,前期,B0C011B0,オオムラタクオ
461,日本の歴史,２年次,前期,B0C011C0,オオムラタクオ
462,観る文学,２年次,前期,B0C015A0,ヨコヤマエリ
463,観る文学,２年次,後期,B0C015C0,ヨコヤマエリ
464,言語学基礎,１年次,前期,B0C016A0,ヨコヤマエリ
465,言語学基礎,１年次,前期,B0C016B0,ヨコヤマエリ
466,言語学基礎,１年次,後期,B0C016C0,ヨコヤマエリ
467,言語学基礎,１年次,後期,B0C016D0,ヨコヤマエリ
468,日本国憲法,２年次,前期,B0C017A0,ゲンテツヒロ
469,日本国憲法,２年次,前期,B0C017B0,ゲンテツヒロ
470,法学基礎,２年次,後期,B0C018A0,ゲンテツヒロ
471,法学基礎,２年次,後期,B0C018B0,ゲンテツヒロ
472,現代経済論,２年次,後期,B0C021A0,セノムツミ
473,心理学基礎,２年次,前期,B0C022A0,ヤギシゲカズ
474,心理学基礎,２年次,前期,B0C022B0,ヤギシゲカズ
475,心理学基礎,２年次,後期,B0C022C0,ヤギシゲカズ
476,心理学基礎,２年次,後期,B0C022D0,ヤギシゲカズ
477,英語表現（ｂａｓｉｃ１）ａ,１年次,前期,B1C001A0,キクチユキ
478,英語表現（ｂａｓｉｃ１）ａ,１年次,前期,B1C001B0,クロカワナオヒコ
479,英語表現（ｂａｓｉｃ１）ａ,１年次,前期,B1C001C0,タオカイクエ
480,英語表現（ｂａｓｉｃ１）ａ,１年次,前期,B1C001D0,キクチユキ
481,英語表現（ｂａｓｉｃ１）ａ,１年次,前期,B1C001E0,クロカワナオヒコ
482,英語表現（ｂａｓｉｃ１）ａ,１年次,前期,B1C001F0,タオカイクエ
483,英語表現（ｂａｓｉｃ１）ａ,１年次,前期,B1C001G0,シンジョウダニヨウコ
484,英語表現（ｂａｓｉｃ１）ａ,１年次,前期,B1C001H0,クロカワナオヒコ
485,英語表現（ｂａｓｉｃ１）ａ,１年次,前期,B1C001I0,タオカイクエ
486,英語表現（ｂａｓｉｃ１）ａ,１年次,前期,B1C001J0,シンジョウダニヨウコ
487,英語表現（ｂａｓｉｃ１）ａ,１年次,前期,B1C001K0,クロカワナオヒコ
488,英語表現（ｂａｓｉｃ１）ａ,１年次,前期,B1C001L0,タオカイクエ
489,英語表現（ｂａｓｉｃ１）ｂ,１年次,後期,B1C002A0,キクチユキ
490,英語表現（ｂａｓｉｃ１）ｂ,１年次,後期,B1C002B0,クロカワナオヒコ
491,英語表現（ｂａｓｉｃ１）ｂ,１年次,後期,B1C002C0,タオカイクエ
492,英語表現（ｂａｓｉｃ１）ｂ,１年次,後期,B1C002D0,キクチユキ
493,英語表現（ｂａｓｉｃ１）ｂ,１年次,後期,B1C002E0,クロカワナオヒコ
494,英語表現（ｂａｓｉｃ１）ｂ,１年次,後期,B1C002F0,タオカイクエ
495,英語表現（ｂａｓｉｃ１）ｂ,１年次,後期,B1C002G0,シンジョウダニヨウコ
496,英語表現（ｂａｓｉｃ１）ｂ,１年次,後期,B1C002H0,クロカワナオヒコ
497,英語表現（ｂａｓｉｃ１）ｂ,１年次,後期,B1C002I0,タオカイクエ
498,英語表現（ｂａｓｉｃ１）ｂ,１年次,後期,B1C002J0,シンジョウダニヨウコ
499,英語表現（ｂａｓｉｃ１）ｂ,１年次,後期,B1C002K0,クロカワナオヒコ
500,英語表現（ｂａｓｉｃ１）ｂ,１年次,後期,B1C002L0,タオカイクエ
501,英語の語法,３年次,前期,B1C003A0,フルヒナオキ
502,英語の語法,３年次,前期,B1C003B0,フルヒナオキ
503,英語の語法,３年次,前期,B1C003C0,シマダヒロユキ
504,英語の語法,３年次,前期,B1C003D0,ナカムラハナエ
505,英語の語法,３年次,前期,B1C003E0,ナカムラハナエ
506,英語の語法,３年次,前期,B1C003F0,シマダヒロユキ
507,英語の語法,３年次,後期,B1C003I0,フルヒナオキ
508,口語英語Ⅰａ,１年次,前期,B1C004A0,アンドリューメロウ
509,口語英語Ⅰａ,１年次,前期,B1C004B0,エルズベスヘロン
510,口語英語Ⅰａ,１年次,前期,B1C004C0,ガブリエルポーラス
511,口語英語Ⅰａ,１年次,前期,B1C004D0,ウェンディチェン
512,口語英語Ⅰａ,１年次,前期,B1C004E0,アンドリューメロウ
513,口語英語Ⅰａ,１年次,前期,B1C004F0,エルズベスヘロン
514,口語英語Ⅰａ,１年次,前期,B1C004G0,ガブリエルポーラス
515,口語英語Ⅰａ,１年次,前期,B1C004H0,ウェンディチェン
516,口語英語Ⅰａ,１年次,前期,B1C004I0,アンドリューメロウ
517,口語英語Ⅰａ,１年次,前期,B1C004J0,ウェンディチェン
518,口語英語Ⅰａ,１年次,前期,B1C004K0,ロバートウォレス
519,口語英語Ⅰａ,１年次,前期,B1C004L0,タローヘイス
520,口語英語Ⅰａ,１年次,前期,B1C004M0,アンドリューメロウ
521,口語英語Ⅰａ,１年次,前期,B1C004N0,ウェンディチェン
522,口語英語Ⅰａ,１年次,前期,B1C004P0,ロバートウォレス
523,口語英語Ⅰａ,１年次,前期,B1C004Q0,タローヘイス
524,口語英語Ⅰｂ,１年次,後期,B1C005A0,アンドリューメロウ
525,口語英語Ⅰｂ,１年次,後期,B1C005B0,エルズベスヘロン
526,口語英語Ⅰｂ,１年次,後期,B1C005C0,ガブリエルポーラス
527,口語英語Ⅰｂ,１年次,後期,B1C005D0,ウェンディチェン
528,口語英語Ⅰｂ,１年次,後期,B1C005E0,アンドリューメロウ
529,口語英語Ⅰｂ,１年次,後期,B1C005F0,エルズベスヘロン
530,口語英語Ⅰｂ,１年次,後期,B1C005G0,ガブリエルポーラス
531,口語英語Ⅰｂ,１年次,後期,B1C005H0,ウェンディチェン
532,口語英語Ⅰｂ,１年次,後期,B1C005I0,アンドリューメロウ
533,口語英語Ⅰｂ,１年次,後期,B1C005J0,ウェンディチェン
534,口語英語Ⅰｂ,１年次,後期,B1C005K0,ロバートウォレス
535,口語英語Ⅰｂ,１年次,後期,B1C005L0,タローヘイス
536,口語英語Ⅰｂ,１年次,後期,B1C005M0,アンドリューメロウ
537,口語英語Ⅰｂ,１年次,後期,B1C005N0,ウェンディチェン
538,口語英語Ⅰｂ,１年次,後期,B1C005P0,ロバートウォレス
539,口語英語Ⅰｂ,１年次,後期,B1C005Q0,タローヘイス
540,英語による情報技術Ⅱ,３年次,前期,B1C006A0,ヒラヤママコト
541,英語による情報技術Ⅱ,３年次,前期,B1C006B0,ヤノコウジロウ
542,英語による情報技術Ⅱ,３年次,前期,B1C006C0,クボタシンジ
543,英語による情報技術Ⅱ,３年次,前期,B1C006D0,クボタシンジ
544,英語による情報技術Ⅱ,３年次,後期,B1C006E0,クボタシンジ
545,英語による情報技術Ⅱ,３年次,後期,B1C006F0,クボタシンジ
546,英語表現（ｂａｓｉｃ２）ａ,２年次,前期,B1C007A0,シマダヒロユキ
547,英語表現（ｂａｓｉｃ２）ａ,２年次,前期,B1C007B0,フルヒナオキ
548,英語表現（ｂａｓｉｃ２）ａ,２年次,前期,B1C007D0,シマダヒロユキ
549,英語表現（ｂａｓｉｃ２）ａ,２年次,前期,B1C007E0,タオカイクエ
550,英語表現（ｂａｓｉｃ２）ａ,２年次,前期,B1C007F0,フルヒナオキ
551,英語表現（ｂａｓｉｃ２）ａ,２年次,前期,B1C007G0,フルヒナオキ
552,英語表現（ｂａｓｉｃ２）ａ,２年次,前期,B1C007H0,クロカワナオヒコ
553,英語表現（ｂａｓｉｃ２）ｂ,２年次,後期,B1C008A0,シマダヒロユキ
554,英語表現（ｂａｓｉｃ２）ｂ,２年次,後期,B1C008B0,フルヒナオキ
555,英語表現（ｂａｓｉｃ２）ｂ,２年次,後期,B1C008C0,フルヒナオキ
556,英語表現（ｂａｓｉｃ２）ｂ,２年次,後期,B1C008D0,シマダヒロユキ
557,英語表現（ｂａｓｉｃ２）ｂ,２年次,後期,B1C008E0,タオカイクエ
558,英語表現（ｂａｓｉｃ２）ｂ,２年次,後期,B1C008F0,フルヒナオキ
559,英語表現（ｂａｓｉｃ２）ｂ,２年次,後期,B1C008G0,フルヒナオキ
560,英語表現（ｂａｓｉｃ２）ｂ,２年次,後期,B1C008H0,クロカワナオヒコ
561,口語英語Ⅱａ,２年次,前期,B1C009B0,ガブリエルポーラス
562,口語英語Ⅱａ,２年次,前期,B1C009C0,アンドリューメロウ
563,口語英語Ⅱａ,２年次,前期,B1C009D0,アンドリューメロウ
564,口語英語Ⅱｂ,２年次,後期,B1C010B0,ガブリエルポーラス
565,口語英語Ⅱｂ,２年次,後期,B1C010C0,アンドリューメロウ
566,口語英語Ⅱｂ,２年次,後期,B1C010D0,アンドリューメロウ
567,英語による情報技術Ⅰａ,２年次,前期,B1C011A0,ヒラヤママコト
568,英語による情報技術Ⅰｂ,２年次,後期,B1C012A0,ヒラヤママコト
569,日本語Ⅰ,１年次,前期,B1C014A0,ハラダカヨコ
570,日本語Ⅱ,１年次,後期,B1C015B0,ハラダカヨコ
571,英語演習,３年次,後期,B1C016A0,アンドリューメロウ
572,基礎スポーツ科学ａ,１年次,前期,B2C001A0,イノウエユミコ
573,基礎スポーツ科学ａ,１年次,前期,B2C001B0,モチヅキチカユキ
574,基礎スポーツ科学ａ,１年次,前期,B2C001C0,イノウエユミコ
575,基礎スポーツ科学ａ,１年次,前期,B2C001D0,モチヅキチカユキ
576,基礎スポーツ科学ａ,１年次,前期,B2C001E0,ツミヤマタカツネ
577,基礎スポーツ科学ａ,１年次,前期,B2C001G0,ツミヤマタカツネ
578,基礎スポーツ科学ａ,１年次,前期,B2C001H0,イノウエユミコ
579,基礎スポーツ科学ａ,１年次,前期,B2C001I0,ツミヤマタカツネ
580,基礎スポーツ科学ａ,１年次,前期,B2C001J0,イノウエユミコ
581,基礎スポーツ科学ａ,１年次,前期,B2C001K0,ツミヤマタカツネ
582,基礎スポーツ科学ａ,１年次,前期,B2C001L0,イノウエユミコ
583,基礎スポーツ科学ａ,１年次,前期,B2C001M0,モチヅキチカユキ
584,基礎スポーツ科学ａ,１年次,前期,B2C001N0,ヒライヒロシ
585,基礎スポーツ科学ａ,１年次,前期,B2C001P0,モチヅキチカユキ
586,基礎スポーツ科学ａ,１年次,前期,B2C001Q0,ヒライヒロシ
587,基礎スポーツ科学ｂ,２年次,後期,B2C002A0,イノウエユミコ
588,基礎スポーツ科学ｂ,２年次,後期,B2C002B0,モチヅキチカユキ
589,基礎スポーツ科学ｂ,２年次,後期,B2C002C0,ツミヤマタカツネ
590,基礎スポーツ科学ｂ,２年次,後期,B2C002D0,モチヅキチカユキ
591,基礎スポーツ科学ｂ,２年次,後期,B2C002E0,ツミヤマタカツネ
592,基礎スポーツ科学ｂ,２年次,後期,B2C002F0,モチヅキチカユキ
593,基礎スポーツ科学ｂ,２年次,後期,B2C002G0,ツミヤマタカツネ
594,基礎スポーツ科学ｂ,２年次,後期,B2C002H0,イノウエユミコ
595,基礎スポーツ科学ｂ,２年次,後期,B2C002I0,イノウエユミコ
596,基礎スポーツ科学ｂ,２年次,後期,B2C002J0,ヒライヒロシ
597,基礎スポーツ科学ｂ,２年次,後期,B2C002K0,ツミヤマタカツネ
598,基礎スポーツ科学ｂ,２年次,後期,B2C002L0,モチヅキチカユキ
599,基礎スポーツ科学ｂ,２年次,後期,B2C002M0,イノウエユミコ
600,基礎スポーツ科学ｂ,２年次,後期,B2C002N0,ヒライヒロシ
601,基礎スポーツ科学ｂ,２年次,後期,B2C002P0,ツミヤマタカツネ
602,基礎スポーツ科学ｂ,２年次,後期,B2C002Q0,モチヅキチカユキ
603,スポーツ科学実習,３年次,前期,B2C004A0,イノウエユミコ
604,物理学基礎,１年次,前期,B3B003A0,フジイケンイチ
605,物理学基礎,１年次,前期,B3B003B0,フジイケンイチ
606,物理学基礎,１年次,前期,B3B003C0,フジイケンイチ
607,物理学基礎,１年次,前期,B3B003D0,フジイケンイチ
608,現代物理学入門,２年次,後期,B3B007A0,フジヒロユキ
609,現代物理学入門,２年次,後期,B3B007B0,フジヒロユキ
610,地球環境,１年次,後期,B3B014A0,キムヘンユン
611,地球環境,１年次,後期,B3B014B0,キムヘンユン
612,地球環境,１年次,後期,B3B014C0,キムヘンユン
613,情報生命科学,１年次,後期,B3B017A0,ヤノコウジロウ
614,情報生命科学,１年次,後期,B3B017B0,ヤノコウジロウ
615,情報生命科学,１年次,後期,B3B017C0,ヤノコウジロウ
616,物理現象の数理,２年次,前期,B3C004A0,フジヒロユキ
617,物理現象の数理,２年次,前期,B3C004B0,フジヒロユキ
618,力学,１年次,前期,B3C005A0,フジヒロユキ
619,力学,１年次,前期,B3C005B0,フジヒロユキ
620,力学,１年次,前期,B3C005C0,フジヒロユキ
621,力学,１年次,前期,B3C005D0,フジヒロユキ
622,電磁気学,１年次,後期,B3C006A0,フジイケンイチ
623,電磁気学,１年次,後期,B3C006B0,フジイケンイチ
624,電磁気学,１年次,後期,B3C006C0,フジイケンイチ
625,電磁気学,１年次,後期,B3C006D0,フジイケンイチ
626,化学基礎,１年次,前期,B3C009A0,タナカリュウイチロウ
627,化学基礎,１年次,前期,B3C009B0,タナカリュウイチロウ
628,環境情報科学,１年次,前期,B3C010A0,カクタニヒデキ
629,環境情報科学,１年次,後期,B3C010B0,カクタニヒデキ
630,環境情報科学,１年次,後期,B3C010C0,カクタニヒデキ
631,地球科学基礎,１年次,前期,B3C012A0,キムヘンユン
632,地球科学基礎,１年次,前期,B3C012B0,キムヘンユン
633,地球科学基礎,１年次,前期,B3C012C0,キムヘンユン
634,地球科学基礎,１年次,前期,B3C012D0,キムヘンユン
635,生命科学基礎,１年次,前期,B3C015B0,ヤノコウジロウ
636,生命科学基礎,１年次,前期,B3C015C0,ヤノコウジロウ
637,視る自然科学,２年次,後期,B3C018A0,フジイケンイチ
638,基礎ゼミナール,１年次,前期,B4C001A0,イガキヒロシ
639,基礎ゼミナール,１年次,前期,B4C001J0,ヤマダタカアキ
640,キャリアステップ（IC科）,１年次,後期,B4C002A0,フジイケンイチ
641,キャリアステップ（IS科）,１年次,後期,B4C002B0,スナガヒロシ
642,キャリアステップ（IM科）,１年次,後期,B4C002C0,コボリケンイチ
643,キャリアステップ（IN科）,１年次,後期,B4C002D0,ミテイ
644,キャリアデザインⅠ（IC科）,２年次,前期,B4C003A0,フジイケンイチ
645,キャリアデザインⅠ（IS科）,２年次,前期,B4C003B0,ヤマダタカアキ
646,キャリアデザインⅠ（IM科）,２年次,前期,B4C003C0,フクシマタク
647,キャリアデザインⅠ（IN科）,２年次,前期,B4C003D0,オオシマカズヨシ
648,キャリアデザインⅡ（IC科）,２年次,後期,B4C004A0,タオカイクエ
649,キャリアデザインⅡ（IS科）,２年次,後期,B4C004B0,クロカワナオヒコ
650,キャリアデザインⅡ（IM科）,２年次,後期,B4C004C0,タオカイクエ
651,教職入門,１年次,後期,BTD001A1,ヒキダヨシト
652,教育原論,２年次,前期,BTD002A1,ヒキダヨシト
653,教育心理学,１年次,後期,BTD003A1,サカイケイコ
654,教育行政,２年次,前期,BTD004A1,ヒキダヨシト
655,数学科教育法ａ,２年次,後期,BTD005A1,キタヒデカズ
656,数学科教育法ｂ,３年次,前期,BTD006A1,キタヒデカズ
657,数学科教育法ｃ,３年次,後期,BTD007A1,キタヒデカズ
658,情報科教育法ａ,３年次,前期,BTD009A1,オオイショウ
659,情報科教育法ｂ,３年次,集中,BTD010A1,オオイショウ
660,道徳教育の研究,２年次,前期,BTD011A1,サワダトシヤ
661,教育課程論,２年次,前期,BTD012A1,サワダトシヤ
662,教育方法論,２年次,後期,BTD013A1,キタヒデカズ
663,生徒指導論,２年次,後期,BTD014A1,エビタヒロユキ
664,中学校教育実習,４年次,集中,BTD016A1,ヒキダヨシト
665,高等学校教育実習,４年次,集中,BTD017A1,ヒキダヨシト
666,教職実践演習,４年次,後期,BTD018A1,ヒキダヨシト
667,福祉教育概論,３年次,集中,BTD019A1,サカイケイコ
668,道徳教育,２年次,前期,BTD020A1,サワダトシヤ
669,教育相談,３年次,前期,BTD021A1,サカイケイコ
670,特別活動・総合的な学習の時間の指導法,２年次,後期,BTD023A1,サワダトシヤ
671,特別支援教育,２年次,後期,BTD024A1,ヤノタダシ
